sample_id,id,sp_id,fluor,sex,id_anon,coh,mat,dpm,date,magn,FAD_tm,FAD_t1,FAD_t2,FAD_t3,FAD_a1,FAD_a2,FAD_a3,Chi2,px_ROI,ph_ROI,ph_px_bin3,lim_phot_number
um-0-1,um-0-1_FAD,um-0-1,FAD,M,a176,mum,um,0,18-05-15,high,347.47,107.68,488.02,2309.86,66.94,25.7,7.36,1.05,262144,27004156,5047.6,no
um-0-2,um-0-2_FAD,um-0-2,FAD,M,a236,mum,um,0,18-05-15,high,119.63,87.7,292.3,2395.82,91.88,7.3,0.93,1.12,262144,82522683,15425.2,no
um-0-4,um-0-4_FAD,um-0-4,FAD,M,a203,mum,um,0,18-05-15,high,429.58,148.5,843.5,2563.31,73.69,18.35,8.1,1.04,262144,20509885,3833.7,no
um-0-6,um-0-6_FAD,um-0-6,FAD,M,a157,mum,um,0,18-05-15,high,141.09,83.51,292.38,2400.04,87.3,11.12,1.59,1.25,262144,135878933,25398.5,no
um-0-9,um-0-9_FAD,um-0-9,FAD,M,a241,mum,um,0,18-05-15,high,202.39,105,327.78,2437.78,78.13,19.4,2.47,1.13,262144,90561803,16927.8,no
mf-0-1,mf-0-1_FAD,mm-0-1,FAD,F,a270,fma,ma ,0,18-05-15,high,712.98,203.54,1175.53,3017.35,68.97,20.95,11.48,1.04,109808,3005625,1341.2,yes
mm-0-1,mm-0-1_FAD,mm-0-1,FAD,M,a206,mma,ma ,0,18-05-15,high,177.45,78.09,309.21,2126.11,71.86,25.6,2.72,1.06,262144,27293250,5101.7,no
mf-0-3,mf-0-3_FAD,mm-0-3,FAD,F,a232,fma,ma ,0,18-05-15,high,1217.87,357.11,1651.36,3840.02,68.91,18.72,14.31,1.01,103859,2387914,1126.6,yes
mm-0-3,mm-0-3_FAD,mm-0-3,FAD,M,a178,mma,ma ,0,18-05-15,high,224.05,117.12,385.87,2296.07,78.66,18.46,2.89,1.08,262144,51088661,9549.5,no
mf-0-4,mf-0-4_FAD,mm-0-4,FAD,F,a261,fma,ma ,0,18-05-15,high,1552.11,384.17,1585.21,4104.39,69.37,19.86,13.97,1.02,95532,1297173,665.3,yes
mm-0-4,mm-0-4_FAD,mm-0-4,FAD,M,a204,mma,ma ,0,18-05-15,high,169.27,90.16,306.9,2195.26,76.28,21.76,1.96,1.09,262144,38034896,7109.5,no
mf-0-5,mf-0-5_FAD,mm-0-5,FAD,F,a238,fma,ma ,0,18-05-15,high,1184.5,349.57,1777.09,3603.57,66.16,19.74,15.43,1,139001,3340562,1177.6,yes
mm-0-5,mm-0-5_FAD,mm-0-5,FAD,M,a276,mma,ma ,0,18-05-15,high,242.86,129.78,428.74,2184.44,78.44,18.62,2.95,1.15,262144,48801168,9121.9,no
mf-0-6,mf-0-6_FAD,mm-0-6,FAD,F,a198,fma,ma ,0,18-05-15,high,1568.86,307.9,1451.82,4451.11,72.33,21.33,11.91,1.02,138857,1785794,630.2,yes
mf-0-7,mf-0-7_FAD,mm-0-7,FAD,F,a225,fma,ma ,0,18-05-15,high,1289.59,183.31,1093.31,3914.13,72.22,22.04,10.99,1.09,114177,1825649,783.5,yes
mm-0-7,mm-0-7_FAD,mm-0-7,FAD,M,a259,mma,ma ,0,18-05-15,high,203.86,87.91,279.12,2499.53,73.08,23.88,3.18,1.15,232176,69239058,14612.7,no
