sample_id,id,sp_id,fluor,sex,id_anon,coh,mat,dpm,date,magn,NADH_tm,NADH_t1,NADH_t2,NADH_a1 ,px_ROI,ph_ROI,ph_px_bin1,lim_phot_number,shift,qual,excl
um-0-1,um-0-1_NADH,um-0-1,NADH,M,a69,mum,um,0,18-05-15,low,813.33,551.78,2075.81,82.06,59430,14518239,2199,no,2.5,4,n
um-0-2,um-0-2_NADH,um-0-2,NADH,M,a73,mum,um,0,18-05-15,low,770.47,499.44,1916.58,80.11,33837,9969111,2652,no,0.2,3,n
um-0-3,um-0-3_NADH,um-0-3,NADH,M,a124,mum,um,0,18-05-15,low,767.69,521.76,2066.16,81.75,50301,8109474,1451,no,2.6,4,n
um-0-4,um-0-4_NADH,um-0-4,NADH,M,a109,mum,um,0,18-05-15,low,761.69,497.41,1928.97,80.92,72014,32451338,4056,no,1.1,5,n
um-0-5,um-0-5_NADH,um-0-5,NADH,M,a30,mum,um,0,18-05-15,low,792.94,523.23,2056.91,81.59,11658,3026637,2337,no,2.5,3,n
um-0-6,um-0-6_NADH,um-0-6,NADH,M,a34,mum,um,0,18-05-15,low,740,479.44,1893.16,80.53,48381,14372993,2674,no,0.1,4,n
um-0-7,um-0-7_NADH,um-0-7,NADH,M,NA,mum,um,0,18-05-15,low,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,y
um-0-8,um-0-8_NADH,um-0-8,NADH,M,a144,mum,um,0,18-05-15,low,777.45,485.61,1998.89,80.57,55800,8351385,1347,no,2.5,4,n
um-0-9,um-0-9_NADH,um-0-9,NADH,M,a9,mum,um,0,18-05-15,low,773.3,520.35,2006.63,82.16,45724,14657398,2885,no,2.5,4,n
mf-0-1,mf-0-1_NADH,mm-0-1,NADH,F,a91,fma,ma,0,18-05-15,low,878.47,556.06,2055.59,77.81,21092,2093408,893,no,2.4,3,n
mm-0-1,mm-0-1_NADH,mm-0-1,NADH,M,a81,mma,ma,0,18-05-15,low,769.12,494.84,1898.22,79.32,42412,6732463,1429,no,2.4,4,n
mf-0-2,mf-0-2_NADH,mm-0-2,NADH,F,a49,fma,ma,0,18-05-15,low,1302.97,1302.97,0,100.00,1486,3774,23,yes,-1.2,2,n
mm-0-2,mm-0-2_NADH,mm-0-2,NADH,M,a79,mma,ma,0,18-05-15,low,934.96,469.82,2761.93,77.53,20528,569901,250,yes,1.9,2,n
mf-0-3,mf-0-3_NADH,mm-0-3,NADH,F,a61,fma,ma,0,18-05-15,low,815.06,514.04,1991.61,79.09,42204,17889065,3815,no,2.3,5,n
mm-0-3,mm-0-3_NADH,mm-0-3,NADH,M,a82,mma,ma,0,18-05-15,low,802.22,540.84,2018.9,81.70,46176,14114381,2751,no,3.5,4,n
mf-0-4,mf-0-4_NADH,mm-0-4,NADH,F,a121,fma,ma,0,18-05-15,low,858.43,570.09,2066.76,80.13,4231,456044,970,no,-1.0,3,n
mm-0-4,mm-0-4_NADH,mm-0-4,NADH,M,a17 ,mma,ma,0,18-05-15,low,777.59,507.85,1957.96,80.73,47079,22020468,4210,no,2.3,5,n
mf-0-5,mf-0-5_NADH,mm-0-5,NADH,F,a99,fma,ma,0,18-05-15,low,775.76,470.17,1904.3,77.92,20189,4639263,2068,no,2.3,4,n
mm-0-5,mm-0-5_NADH,mm-0-5,NADH,M,a89,mma,ma,0,18-05-15,low,737.79,462.71,1852.11,79.55,49852,19861929,3586,no,1.3,4,n
mf-0-6,mf-0-6_NADH,mm-0-6,NADH,F,a28,fma,ma,0,18-05-15,low,849.51,455.84,2078.97,75.33,32809,55222,15,yes,-1.0,3,n
mm-0-6,mm-0-6_NADH,mm-0-6,NADH,M,a146,mma,ma,0,18-05-15,low,787.56,492.53,1945.53,79.09,16150,3807236,2122,no,2.3,4,n
mf-0-7,mf-0-7_NADH,mm-0-7,NADH,F,a93,fma,ma,0,18-05-15,low,783.74,490.34,1918.01,78.71,37222,8929840,2159,no,0.3,4,n
mm-0-7,mm-0-7_NADH,mm-0-7,NADH,M,a47,mma,ma,0,18-05-15,low,762.73,501.33,1942.27,80.92,63231,18901506,2690,no,2.7,5,n
mf-0-8,mf-0-8_NADH,mm-0-8,NADH,F,a26,fma,ma,0,18-05-15,low,778.82,488.91,1925.79,79.27,14007,5359574,3444,no,1.3,4,n
